Category,Province,Values in 2022 (100 million yuan),Values in 2021 (100 million yuan),Values in 2020 (100 million yuan),Values in 2019 (100 million yuan),Values in 2018 (100 million yuan),Values in 2017 (100 million yuan),Values in 2016 (100 million yuan),Values in 2015 (100 million yuan),Values in 2014 (100 million yuan),Values in 2013 (100 million yuan),Values in 2012 (100 million yuan),Values in 2011 (100 million yuan),Values in 2010 (100 million yuan),Values in 2009 (100 million yuan),Values in 2008 (100 million yuan),Values in 2007 (100 million yuan),Values in 2006 (100 million yuan),Values in 2005 (100 million yuan),Values in 2004 (100 million yuan),Values in 2003 (100 million yuan),Values in 2002 (100 million yuan),Values in 2001 (100 million yuan),Values in 2000 (100 million yuan),Values in 1999 (100 million yuan),Values in 1998 (100 million yuan),Values in 1997 (100 million yuan)
Gross Regional Product,Beijing,41610.90 ,40269.60 ,36102.55 ,35371.28 ,30319.98 ,28014.94 ,25669.13 ,23014.59 ,21330.83 ,19500.56 ,17879.40 ,16251.93 ,14113.58 ,12153.03 ,10488.03 ,9353.32 ,7870.28 ,6886.31 ,4283.31 ,3663.10 ,3212.71 ,2845.65 ,2478.76 ,2174.46 ,2011.31 ,1810.09 
Gross Regional Product,Tianjin,16311.30 ,15695.00 ,14083.73 ,14104.28 ,18809.64 ,18549.19 ,17885.39 ,16538.19 ,15726.93 ,14370.16 ,12893.88 ,11307.28 ,9224.46 ,7521.85 ,6354.38 ,5050.40 ,4359.15 ,3697.62 ,2931.88 ,2447.66 ,2051.16 ,1840.10 ,1639.36 ,1450.06 ,1336.38 ,1240.40 
Gross Regional Product,Hebei,42370.40 ,40391.30 ,36206.89 ,35104.52 ,36010.27 ,34016.32 ,32070.45 ,29806.11 ,29421.15 ,28301.41 ,26575.01 ,24515.76 ,20394.26 ,17235.48 ,16188.61 ,13709.50 ,11660.43 ,10096.11 ,8768.79 ,7098.56 ,6122.53 ,5577.78 ,5088.96 ,4569.19 ,4256.01 ,3953.78 
Gross Regional Product,Shanxi,25642.60 ,22590.20 ,17651.93 ,17026.68 ,16818.11 ,15528.42 ,13050.41 ,12766.49 ,12761.49 ,12602.24 ,12112.83 ,11237.55 ,9200.86 ,7358.31 ,6938.73 ,5733.35 ,4752.54 ,4179.52 ,3042.41 ,2456.59 ,2017.54 ,1779.97 ,1643.81 ,1506.78 ,1601.11 ,1480.13 
Gross Regional Product,Inner Mongolia,23158.60 ,20514.20 ,17359.82 ,17212.53 ,17289.22 ,16096.21 ,18128.10 ,17831.51 ,17770.19 ,16832.38 ,15880.58 ,14359.88 ,11672.00 ,9740.25 ,7761.80 ,6091.12 ,4791.48 ,3895.55 ,2712.08 ,2150.41 ,1734.31 ,1545.79 ,1401.01 ,1268.20 ,1192.29 ,1094.52 
Gross Regional Product,Liaoning,28975.10 ,27584.10 ,25114.96 ,24909.45 ,25315.35 ,23409.24 ,22246.90 ,28669.02 ,28626.58 ,27077.65 ,24846.43 ,22226.70 ,18457.27 ,15212.49 ,13461.57 ,11023.49 ,9251.15 ,8009.01 ,6872.65 ,6002.54 ,5458.22 ,5033.08 ,4669.06 ,4171.69 ,3881.73 ,3490.06 
Gross Regional Product,Jilin,13070.20 ,13235.50 ,12311.32 ,11726.82 ,15074.62 ,14944.53 ,14776.80 ,14063.13 ,13803.14 ,12981.46 ,11939.24 ,10568.83 ,8667.58 ,7278.75 ,6424.06 ,5284.69 ,4275.12 ,3620.27 ,2958.21 ,2522.62 ,2246.12 ,2032.48 ,1821.19 ,1669.56 ,1557.78 ,1446.91 
Gross Regional Product,Heilongjiang,15901.00 ,14879.20 ,13698.50 ,13612.68 ,16361.62 ,15902.68 ,15386.09 ,15083.67 ,15039.38 ,14382.93 ,13691.58 ,12582.00 ,10368.60 ,8587.00 ,8310.00 ,7065.00 ,6188.90 ,5511.50 ,5303.00 ,4430.00 ,3882.16 ,3561.00 ,3253.00 ,2897.41 ,2832.84 ,2708.46 
Gross Regional Product,Shanghai,44652.80 ,43214.90 ,38700.58 ,38155.32 ,32679.87 ,30632.99 ,28178.65 ,25123.45 ,23567.70 ,21602.12 ,20181.72 ,19195.69 ,17165.98 ,15046.45 ,13698.15 ,12188.85 ,10366.37 ,9154.18 ,7450.27 ,6250.81 ,5408.76 ,4950.84 ,4551.15 ,4034.96 ,3688.20 ,3360.21 
Gross Regional Product,Jiangsu,122875.60 ,116364.20 ,102718.98 ,99631.52 ,92595.40 ,85869.76 ,77388.28 ,70116.38 ,65088.32 ,59161.75 ,54058.22 ,49110.27 ,41425.48 ,34457.30 ,30312.61 ,25741.15 ,21645.08 ,18305.66 ,15403.16 ,12460.83 ,10631.75 ,9511.91 ,8582.73 ,7697.82 ,7199.95 ,6680.34 
